No. ,"Author, Specimen Name ",Comments ,Specimen_Type,Load_History,Bar_Type,Steel_Origin,Bar_Grade,Nominal Diameter,Gauge Length,Corrosion_Method,Cathode_Type,Cleaning_Method,Current Density,Exposure Duration,Solution Concentration,Mass Loss,Corroded Length,Corrosion Penetration Depth,Fy,ln(Fy)
272,"Zhang et al. (2012), Bt15",,Embedded,None,D,China,HRB350,12,200,IC,External stainless steel plate,Chemical,100,380,5,18.3,400,0.549,33.7,3.517497837
273,"Zhang et al. (2012), Bt16",,Embedded,None,D,China,HRB350,12,200,IC,External stainless steel plate,Chemical,100,470,5,27.2,400,0.816,30.95,3.432372999
274,"Zhang et al. (2012), Bt17",,Embedded,None,D,China,HRB350,12,200,IC,External stainless steel plate,Chemical,100,470,5,25.6,400,0.768,30.2,3.407908147
275,"Zhang et al. (2012), Bt18",,Embedded,None,D,China,HRB350,12,200,IC,External stainless steel plate,Chemical,100,470,5,24,400,0.72,31.03,3.434922251
276,"Zhang et al. (2012), Bt19",,Embedded,None,D,China,HRB350,12,200,IC,External stainless steel plate,Chemical,100,660,5,35.8,400,1.074,23.92,3.174714929
277,"Zhang et al. (2012), Bt20",,Embedded,None,D,China,HRB350,12,200,IC,External stainless steel plate,Chemical,100,660,5,35.6,400,1.068,25.7,3.246374254
278,"Zhang et al. (2012), Bt21",,Embedded,None,D,China,HRB350,12,200,IC,External stainless steel plate,Chemical,100,660,5,32.3,400,0.969,28.37,3.345261749
279,"Apostolopoulos et al. (2013), B-0",Control.,Bare,None,D,Greece,B500C,8,100,Control,Control,N/A,0,0,0,0,0,0,31.25,3.442133579
280,"Apostolopoulos et al. (2013), B-10",,Bare,None,D,Greece,B500C,8,100,EI,Carbon steel,Mechanical,84.71,10,5,1.33,340,0.027,30.04,3.402384556
281,"Apostolopoulos et al. (2013), B-20",,Bare,None,D,Greece,B500C,8,100,EI,Carbon steel,Mechanical,85.32,20,5,2.67,340,0.053,28.92,3.364680917
282,"Apostolopoulos et al. (2013), B-30",,Bare,None,D,Greece,B500C,8,100,EI,Carbon steel,Mechanical,64.61,30,5,3.03,340,0.061,28.36,3.344989852
283,"Apostolopoulos et al. (2013), B-45",,Bare,None,D,Greece,B500C,8,100,EI,Carbon steel,Mechanical,73.61,45,5,5.15,340,0.103,27.11,3.300057817
284,"Apostolopoulos et al. (2013), B-60",,Bare,None,D,Greece,B500C,8,100,EI,Carbon steel,Mechanical,70.47,60,5,6.55,340,0.131,26.41,3.273818367
285,"Apostolopoulos et al. (2013), B-90",,Bare,None,D,Greece,B500C,8,100,EI,Carbon steel,Mechanical,71.57,90,5,9.89,340,0.198,24.54,3.2004933
286,"Apostolopoulos et al. (2013), B-120",,Bare,None,D,Greece,B500C,8,100,EI,Carbon steel,Mechanical,74.29,120,5,13.55,340,0.271,21.42,3.064166981
287,"Apostolopoulos et al. (2013), E-1",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,1.31,365,5,0.75,340,0.015,22.55,3.115516603
288,"Apostolopoulos et al. (2013), E-2",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,6.28,365,5,3.58,340,0.072,26.14,3.263565203
289,"Apostolopoulos et al. (2013), E-3",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,4.25,365,5,2.43,340,0.049,23.52,3.15796752
290,"Apostolopoulos et al. (2013), E-4",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,7.38,365,5,4.2,340,0.084,22.74,3.124196384
291,"Apostolopoulos et al. (2013), E-5",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,3.43,365,5,1.96,340,0.039,24.88,3.213898845
292,"Apostolopoulos et al. (2013), E-6",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,2.3,365,5,1.32,340,0.026,26.87,3.29119436
293,"Apostolopoulos et al. (2013), E-7",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,2.27,365,5,1.3,340,0.026,25.83,3.25163094
294,"Apostolopoulos et al. (2013), E-8",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,3.65,365,5,2.09,340,0.042,25.3,3.230729874
295,"Apostolopoulos et al. (2013), E-9",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,6.11,365,5,3.48,340,0.07,23.51,3.15762556
296,"Apostolopoulos et al. (2013), E-10",,Embedded,None,D,Greece,B500C,8,100,EI,Internal carbon steel,Mechanical,5.2,365,5,2.97,340,0.059,25.09,3.222309696
297,"Dang and François (2013), AT2-T1",Control. 27 years old. ,Embedded,Pre-loaded,D,France,B500B,16,200,Control,Control,N/A,0,0,0,0,0,0,113.26,4.729686061
298,"Dang and François (2013), A2CL1-T1",27 years old. ,Embedded,Pre-loaded,D,France,B500B,16,200,EI,Internal carbon steel,Chemical,1.8,9862,3.5,45.98,400,1.839,69.1,4.235598145
299,"Dang and François (2013), A2CL1-T2",27 years old. ,Embedded,Pre-loaded,D,France,B500B,16,200,EI,Internal carbon steel,Chemical,1.8,9862,3.5,21.5,400,0.86,83.31,4.42256859
300,"Dang and François (2013), AT2-C1",Control. 27 years old. ,Embedded,Pre-loaded,D,France,B500B,8,200,Control,Control,N/A,0,0,0,0,0,0,22.75,3.1246091
301,"Dang and François (2013), A2CL1-C1",27 years old. ,Embedded,Pre-loaded,D,France,B500B,8,200,EI,Internal carbon steel,Chemical,1.8,9862,3.5,42.44,400,0.849,16.37,2.795694711
302,"Dang and François (2013), A2CL1-C2",27 years old. ,Embedded,Pre-loaded,D,France,B500B,8,200,EI,Internal carbon steel,Chemical,1.8,9862,3.5,54.57,400,1.091,19.24,2.956783523
303,"Kashani et al. (2013b), T1",Control.,Embedded,None,D,United Kingdom,B500B,8,200,Control,Control,N/A,0,0,0,0,0,0,25.64,3.243974055
304,"Kashani et al. (2013b), T2",,Embedded,None,D,United Kingdom,B500B,8,200,IC,External stainless steel plate,Mechanical,2400,5,3,6.44,500,0.129,23,3.135358574
305,"Kashani et al. (2013b), T3",,Embedded,None,D,United Kingdom,B500B,8,200,IC,External stainless steel plate,Mechanical,2400,5,3,15.54,500,0.311,18.63,2.924806075
306,"Kashani et al. (2013b), T4",,Embedded,None,D,United Kingdom,B500B,8,200,IC,External stainless steel plate,Mechanical,2400,14,3,15.8,500,0.316,18.49,2.91697191
307,"Kashani et al. (2013b), T5",,Embedded,None,D,United Kingdom,B500B,8,200,IC,External stainless steel plate,Mechanical,2400,14,3,16.05,500,0.321,22.62,3.118767344
308,"Kashani et al. (2013b), T6",,Embedded,None,D,United Kingdom,B500B,8,200,IC,External stainless steel plate,Mechanical,2400,14,3,17.19,500,0.344,21.44,3.065341853
309,"Meda et al. (2014), NC1",Control,Bare,None,D,Italy,B500C,16,200,Control,Control,N/A,0,0,0,0,0,0,104.87,4.652721488
310,"Meda et al. (2014), NC2",Control,Bare,None,D,Italy,B500C,16,200,Control,Control,N/A,0,0,0,0,0,0,104.8,4.652053772
311,"Meda et al. (2014), NC3",Control,Bare,None,D,Italy,B500C,16,200,Control,Control,N/A,0,0,0,0,0,0,104.38,4.648038086
312,"Meda et al. (2014), A1",,Bare,None,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,16,3,11.9,200,0.476,76.5,4.337290741
313,"Meda et al. (2014), A2",,Bare,None,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,16,3,12.9,200,0.516,73.99,4.303929949
314,"Meda et al. (2014), A3",,Bare,None,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,16,3,12.6,200,0.504,76.59,4.33846652
315,"Meda et al. (2014), C1",,Bare,None,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,31,3,21.2,200,0.848,62.92,4.141864078
316,"Meda et al. (2014), C2",,Bare,None,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,31,3,21.4,200,0.856,64.6,4.168214411
317,"Meda et al. (2014), C3",,Bare,None,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,31,3,22.1,200,0.884,59.09,4.079061705
318,"Meda et al. (2014), D1a",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,47,3,19.65,600,0.786,49.04,3.892636292
319,"Meda et al. (2014), D1b",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,47,3,20.85,600,0.834,44.06,3.785552341
320,"Meda et al. (2014), D2a",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,47,3,19.2,600,0.768,50.44,3.920784511
321,"Meda et al. (2014), D2b",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,47,3,20.89,600,0.836,59.58,4.087319947
322,"Meda et al. (2014), D3a",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,47,3,23.38,600,0.935,32.37,3.477232068
323,"Meda et al. (2014), D3b",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,47,3,17.3,600,0.692,56.66,4.037068494
324,"Meda et al. (2014), D4a",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,47,3,23.36,600,0.934,30.43,3.415428964
325,"Meda et al. (2014), D4b",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,47,3,17.67,600,0.707,60.58,4.103964806
326,"Meda et al. (2014), E1a",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,35,3,20.83,600,0.833,54.3,3.994524227
327,"Meda et al. (2014), E1b",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,35,3,17.06,600,0.682,66.17,4.192227188
328,"Meda et al. (2014), E2a",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,35,3,15.85,600,0.634,60.8,4.107589789
329,"Meda et al. (2014), E2b",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,35,3,19.04,600,0.762,58.05,4.061304708
330,"Meda et al. (2014), E3a",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,35,3,16.44,600,0.658,53.46,3.978933711
331,"Meda et al. (2014), E3b",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,35,3,14.76,600,0.59,73.58,4.29837325
332,"Meda et al. (2014), E4a",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,35,3,15.97,600,0.639,53.32,3.97633025
333,"Meda et al. (2014), E4b",,Embedded,Pre-loaded,D,Italy,B500C,16,200,IC,External carbon steel bar,Chemical,50,35,3,17.06,600,0.682,67.2,4.207673248
334,"Salvatore et al. (2014), B500A-12-CW-Prod.2-C1",Control.,Bare,None,D,Italy,B500A,12,120,Control,Control,N/A,0,0,0,0,0,0,64.21,4.162086656
335,"Salvatore et al. (2014), B500A-12-CW-Prod.2-C2",Control.,Bare,None,D,Italy,B500A,12,120,Control,Control,N/A,0,0,0,0,0,0,64.5,4.166673618
336,"Salvatore et al. (2014), B500A-12-CW-Prod.2-C3",Control.,Bare,None,D,Italy,B500A,12,120,Control,Control,N/A,0,0,0,0,0,0,62.53,4.135724957
337,"Salvatore et al. (2014), B500A-12-CW-Prod.2-1","UniPi (University of Pisa) experimental tests. Producer 2, Cold-worked. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500A,12,120,EI,Carbon steel,Mechanical,190.2,90,5,17.17,21.7,0.515,55.36,4.013878007
338,"Salvatore et al. (2014), B500A-12-CW-Prod.2-2","UniPi (University of Pisa) experimental tests. Producer 2, Cold-worked. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500A,12,120,EI,Carbon steel,Mechanical,156.78,90,5,14.27,23.3,0.428,55.98,4.025051308
339,"Salvatore et al. (2014), B500A-12-CW-Prod.2-3","UniPi (University of Pisa) experimental tests. Producer 2, Cold-worked. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500A,12,120,EI,Carbon steel,Mechanical,252.83,90,5,22.47,21.5,0.674,56.39,4.032297716
340,"Salvatore et al. (2014), B500A-12-CW-Prod.2 5.6","UniPi (University of Pisa) experimental tests. Producer 2, Cold-worked. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500A,12,120,EI,Carbon steel,Mechanical,274.68,45,5,12.56,24.9,0.377,52.14,3.953891588
341,"Salvatore et al. (2014), B500A-12-CW-Prod.2 5.5","UniPi (University of Pisa) experimental tests. Producer 2, Cold-worked. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500A,12,120,EI,Carbon steel,Mechanical,96.31,45,5,4.5,21,0.135,57.45,4.050974993
342,"Salvatore et al. (2014), B500A-12-CW-Prod.2 5.2","UniPi (University of Pisa) experimental tests. Producer 2, Cold-worked. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500A,12,120,EI,Carbon steel,Mechanical,113.45,45,5,5.29,182.5,0.159,57.11,4.045051975
343,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-C1",Control.,Bare,None,D,Italy,B400C,12,120,Control,Control,N/A,0,0,0,0,0,0,50.55,3.922873153
344,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-C2",Control.,Bare,None,D,Italy,B400C,12,120,Control,Control,N/A,0,0,0,0,0,0,48.42,3.87994379
345,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-C3",Control.,Bare,None,D,Italy,B400C,12,120,Control,Control,N/A,0,0,0,0,0,0,50.06,3.913318117
346,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-1","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,120,EI,Carbon steel,Mechanical,148.46,90,5,13.54,30,0.406,45.06,3.807950071
347,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-2","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,160,EI,Carbon steel,Mechanical,281.19,90,5,18.94,28.4,0.758,45.4,3.815451982
348,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-3","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,160,EI,Carbon steel,Mechanical,177.39,90,5,12.18,30,0.487,45.79,3.824133668
349,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-4","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,160,EI,Carbon steel,Mechanical,234.46,90,5,15.93,24.9,0.637,47.2,3.854298933
350,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-5","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,160,EI,Carbon steel,Mechanical,235.99,90,5,16.03,25.3,0.641,46.46,3.838600023
351,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-6","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,160,EI,Carbon steel,Mechanical,323.53,90,5,21.62,25.1,0.865,46.89,3.847807745
352,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-7","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,160,EI,Carbon steel,Mechanical,290.45,45,5,10.03,31,0.401,50.27,3.9174436
353,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-8","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,160,EI,Carbon steel,Mechanical,394.07,45,5,13.48,30.5,0.539,50.8,3.927961768
354,"Salvatore et al. (2014), B400C-16-TEMP-Prod.1-9","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,12,160,EI,Carbon steel,Mechanical,449.56,45,5,15.3,31.7,0.612,49.37,3.899281921
355,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-C1",Control.,Bare,None,D,Italy,B450C,16,160,Control,Control,N/A,0,0,0,0,0,0,108.03,4.68245151
356,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-C2",Control.,Bare,None,D,Italy,B450C,16,160,Control,Control,N/A,0,0,0,0,0,0,117.95,4.770269034
357,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-C3",Control.,Bare,None,D,Italy,B450C,16,160,Control,Control,N/A,0,0,0,0,0,0,116.93,4.761571838
358,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-1","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,213.62,90,5,14.57,20.9,0.583,96.79,4.572556216
359,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-2","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,87.11,90,5,6.08,26.4,0.243,97.39,4.578768702
360,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-3","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,126.11,90,5,8.74,27.2,0.35,100.49,4.610065709
361,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-4","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,98.63,90,5,6.87,28.9,0.275,100.01,4.605252222
362,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-5","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,119.91,90,5,8.32,24.2,0.333,96.69,4.571517039
363,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-6","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,255,90,5,17.26,24.5,0.69,101.09,4.616050167
364,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-7","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,226.58,45,5,7.87,30.5,0.315,102.38,4.628698557
365,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-8","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,213.96,45,5,7.44,29.5,0.298,102.78,4.632618593
366,"Salvatore et al. (2014), B450C-16-TEMP-Prod.1-9","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,16,160,EI,Carbon steel,Mechanical,323.86,45,5,11.15,28.8,0.446,101.4,4.619029019
367,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-C1",Control.,Bare,None,D,Italy,B500B,16,160,Control,Control,N/A,0,0,0,0,0,0,119.95,4.787071038
368,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-C2",Control.,Bare,None,D,Italy,B500B,16,160,Control,Control,N/A,0,0,0,0,0,0,119.19,4.780697895
369,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-C3",Control.,Bare,None,D,Italy,B500B,16,160,Control,Control,N/A,0,0,0,0,0,0,117.15,4.763478679
370,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-1","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,367.25,90,5,24.34,28.6,0.974,99,4.595149085
371,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-2","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,250.5,90,5,16.97,30.5,0.679,95.81,4.562325413
372,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-3","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,726.3,90,5,44.86,20,1.794,96.89,4.573594314
373,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-4","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,249.58,90,5,16.91,24.5,0.676,97.6,4.580830984
374,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-5","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,423.19,90,5,27.75,26.4,1.11,98.8,4.59311615
375,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-6","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,258.41,90,5,17.48,24.2,0.699,98.58,4.590875139
376,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-7","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,621.94,45,5,20.83,31.5,0.833,100.53,4.610465789
377,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-8","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,568.33,45,5,19.13,31.2,0.765,98.7,4.592098131
378,"Salvatore et al. (2014), B500B-16-TEMP-Prod.1-9","UniPi (University of Pisa) experimental tests. Producer 1, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B500B,16,160,EI,Carbon steel,Mechanical,773.9,45,5,25.55,23.2,1.022,98.92,4.594336407
379,"Salvatore et al. (2014), B400C-16-MA-Prod.2-C1",Control.,Bare,None,D,Italy,B400C,16,160,Control,Control,N/A,0,0,0,0,0,0,87.35,4.469938554
380,"Salvatore et al. (2014), B400C-16-MA-Prod.2-C2",Control.,Bare,None,D,Italy,B400C,16,160,Control,Control,N/A,0,0,0,0,0,0,87.81,4.475127049
381,"Salvatore et al. (2014), B400C-16-MA-Prod.2-C3",Control.,Bare,None,D,Italy,B400C,16,160,Control,Control,N/A,0,0,0,0,0,0,87.01,4.465971667
382,"Salvatore et al. (2014), B400C-16-MA-Prod.2-1","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,16,160,EI,Carbon steel,Mechanical,341.85,45,5,11.75,31.5,0.47,85.89,4.453109978
383,"Salvatore et al. (2014), B400C-16-MA-Prod.2-2","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,16,160,EI,Carbon steel,Mechanical,307.13,45,5,10.59,29.5,0.424,87.96,4.476934396
384,"Salvatore et al. (2014), B400C-16-MA-Prod.2-3","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,16,160,EI,Carbon steel,Mechanical,665.25,45,5,22.19,31.2,0.888,85.25,4.445591145
385,"Salvatore et al. (2014), B400C-25-MA-Prod.2 C1",Control.,Bare,None,D,Italy,B400C,25,250,Control,Control,N/A,0,0,0,0,0,0,212.44,5.358638305
386,"Salvatore et al. (2014), B400C-25-MA-Prod.2 C2",Control.,Bare,None,D,Italy,B400C,25,250,Control,Control,N/A,0,0,0,0,0,0,213.35,5.362949998
387,"Salvatore et al. (2014), B400C-25-MA-Prod.2 C3",Control.,Bare,None,D,Italy,B400C,25,250,Control,Control,N/A,0,0,0,0,0,0,212.76,5.360185274
388,"Salvatore et al. (2014), B400C-25-MA-Prod.2 8.10","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,25,250,EI,Carbon steel,Mechanical,112.98,90,5,5.06,22.8,0.316,217.31,5.381324235
389,"Salvatore et al. (2014), B400C-25-MA-Prod.2 8.11","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,25,250,EI,Carbon steel,Mechanical,225.05,90,5,9.95,22,0.622,214.86,5.36996564
390,"Salvatore et al. (2014), B400C-25-MA-Prod.2 8.9","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,25,250,EI,Carbon steel,Mechanical,221.57,90,5,9.8,17.1,0.613,215.35,5.372264612
391,"Salvatore et al. (2014), B400C-25-MA-Prod.2-1","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,25,250,EI,Carbon steel,Mechanical,28.7,45,5,0.65,25.9,0.041,209.85,5.346386184
392,"Salvatore et al. (2014), B400C-25-MA-Prod.2-2","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,25,250,EI,Carbon steel,Mechanical,37.99,45,5,0.86,22.2,0.054,209.01,5.342401648
393,"Salvatore et al. (2014), B400C-25-MA-Prod.2-3","UniPi (University of Pisa) experimental tests. Producer 2, Macro Alloyed. Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B400C,25,250,EI,Carbon steel,Mechanical,32.24,45,5,0.73,21.9,0.046,208.13,5.338165351
394,"Salvatore et al. (2014), B450C-25-TEMP-Prod.2 C1",Control.,Bare,None,D,Italy,B450C,25,250,Control,Control,N/A,0,0,0,0,0,0,247.89,5.512990325
395,"Salvatore et al. (2014), B450C-25-TEMP-Prod.2 C2",Control.,Bare,None,D,Italy,B450C,25,250,Control,Control,N/A,0,0,0,0,0,0,249.15,5.518066528
396,"Salvatore et al. (2014), B450C-25-TEMP-Prod.2 C3",Control.,Bare,None,D,Italy,B450C,25,250,Control,Control,N/A,0,0,0,0,0,0,246.28,5.506474091
397,"Salvatore et al. (2014), B450C-25-TEMP-Prod.2 10.3","UniPi (University of Pisa) experimental tests. Producer 2, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,25,250,EI,Carbon steel,Mechanical,26.53,90,5,1.2,21.6,0.075,246.62,5.507828511
398,"Salvatore et al. (2014), B450C-25-TEMP-Prod.2 10.9","UniPi (University of Pisa) experimental tests. Producer 2, TEMP-CORE Corrosion limited to small central region by protective wax.",Bare,None,D,Italy,B450C,25,250,EI,Carbon steel,Mechanical,41.86,90,5,1.89,20.4,0.118,253.05,5.533569199
